well_id,results,chemical,date,units,qualifer,rl,latitude,longitude,well_type,source,county
ANT-18,0.003,"1,1,1-Trichloroethane",2/4/2008,UG/L,<,0.003,34.59832258,-118.085627,MUNICIPAL,USGS, Los Angeles County
ANT-19,0.003,"1,1,1-Trichloroethane",2/4/2008,UG/L,<,0.003,34.572,-117.9980833,MUNICIPAL,USGS, Los Angeles County
ANT-20,0.003,"1,1,1-Trichloroethane",2/5/2008,UG/L,<,0.003,34.52269444,-118.0462222,MUNICIPAL,USGS, Los Angeles County
ANT-21,0.003,"1,1,1-Trichloroethane",2/5/2008,UG/L,<,0.003,34.55969444,-118.1434722,MUNICIPAL,USGS, Los Angeles County
ANT-22,0.003,"1,1,1-Trichloroethane",2/5/2008,UG/L,<,0.003,34.85738889,-118.1558611,MUNICIPAL,USGS, Kern County
ANT-23,0.003,"1,1,1-Trichloroethane",2/6/2008,UG/L,<,0.003,34.44569444,-117.8491389,MUNICIPAL,USGS, Los Angeles County
ANT-24,0.003,"1,1,1-Trichloroethane",2/6/2008,UG/L,<,0.003,34.49844444,-117.6586389,MUNICIPAL,USGS, San Bernardino County
ANT-25,0.003,"1,1,1-Trichloroethane",2/6/2008,UG/L,<,0.003,34.646,-117.8454167,MUNICIPAL,USGS, Los Angeles County
ANT-26,2,"1,1,1-Trichloroethane",2/7/2008,UG/L,<,0.002,34.53944444,-117.9247222,MUNICIPAL,USGS, Los Angeles County
ANT-27,0.003,"1,1,1-Trichloroethane",2/11/2008,UG/L,<,0.003,34.74609415,-118.1311835,MUNICIPAL,USGS, Los Angeles County
ANT-28,0.003,"1,1,1-Trichloroethane",2/11/2008,UG/L,<,0.003,34.87558333,-118.2706667,MUNICIPAL,USGS, Kern County
ANT-29,0.003,"1,1,1-Trichloroethane",2/11/2008,UG/L,<,0.003,34.86380556,-118.2649444,MUNICIPAL,USGS, Kern County
ANT-30,0.003,"1,1,1-Trichloroethane",2/12/2008,UG/L,<,0.003,34.64054317,-118.0670153,MUNICIPAL,USGS, Los Angeles County
ANT-31,0.003,"1,1,1-Trichloroethane",2/12/2008,UG/L,<,0.003,34.45127778,-118.1988056,MUNICIPAL,USGS, Los Angeles County
ANT-32,0.003,"1,1,1-Trichloroethane",2/13/2008,UG/L,<,0.003,35.08827778,-117.7925,MUNICIPAL,USGS, Kern County
ANT-33,0.003,"1,1,1-Trichloroethane",2/13/2008,UG/L,<,0.003,35.01355556,-117.7396389,MUNICIPAL,USGS, Kern County
ANT-34,0.002,"1,1,1-Trichloroethane",2/14/2008,UG/L,<,0.002,35.01008333,-117.70225,MUNICIPAL,USGS, Kern County
ANT-35,0.003,"1,1,1-Trichloroethane",2/26/2008,UG/L,<,0.003,34.87055556,-117.8119444,MUNICIPAL,USGS, Kern County
ANT-36,0.003,"1,1,1-Trichloroethane",2/26/2008,UG/L,<,0.003,34.86697222,-117.7991667,MUNICIPAL,USGS,Kern County
ANT-37,0.003,"1,1,1-Trichloroethane",2/27/2008,UG/L,<,0.003,34.8694234,-117.9350679,MUNICIPAL,USGS,Kern County
ANT-38,0.003,"1,1,1-Trichloroethane",2/27/2008,UG/L,<,0.003,34.86113889,-117.8953056,MUNICIPAL,USGS,Kern County
ANT-39,0.003,"1,1,1-Trichloroethane",2/27/2008,UG/L,<,0.003,34.86141667,-117.8876389,MUNICIPAL,USGS,Kern County
ANT-40,0.002,"1,1,1-Trichloroethane",2/28/2008,UG/L,<,0.002,34.81366944,-117.9161722,MUNICIPAL,USGS, Los Angeles County
ANT-41,0.003,"1,1,1-Trichloroethane",3/3/2008,UG/L,<,0.003,34.68880556,-118.2911111,MUNICIPAL,USGS, Los Angeles County
ANT-42,0.003,"1,1,1-Trichloroethane",3/3/2008,UG/L,<,0.003,34.78294444,-118.2813333,MUNICIPAL,USGS, Los Angeles County
ANT-43,0.002,"1,1,1-Trichloroethane",3/4/2008,MG/L,<,0.002,34.52861111,-117.9588056,MUNICIPAL,USGS, Los Angeles County
ANT-44,0.003,"1,1,1-Trichloroethane",3/4/2008,UG/L,<,0.003,34.77427778,-118.4570833,MUNICIPAL,USGS, Los Angeles County
ANT-45,0.002,"1,1,1-Trichloroethane",3/5/2008,UG/L,<,0.002,35.00991667,-117.8421944,MUNICIPAL,USGS, Kern County
ANT-46,1,"1,1,1-Trichloroethane",3/6/2008,UG/L,=,0.002,34.65897222,-118.2445556,MUNICIPAL,USGS, Los Angeles County
ANT-47,2,"1,1,1-Trichloroethane",3/17/2008,UG/L,<,0.002,34.73755,-118.2176333,MUNICIPAL,USGS, Los Angeles County
ANT-48,0.002,"1,1,1-Trichloroethane",3/18/2008,UG/L,<,0.002,34.86288889,-118.21575,MUNICIPAL,USGS, Kern County
ANT-49,2,"1,1,1-Trichloroethane",3/19/2008,UG/L,<,0.002,34.62136111,-118.1110556,MUNICIPAL,USGS, Los Angeles County
ANT-50,0.003,"1,1,1-Trichloroethane",3/19/2008,UG/L,<,0.003,34.41063889,-117.7725278,MUNICIPAL,USGS, Los Angeles County
ANT-51,2,"1,1,1-Trichloroethane",3/20/2008,UG/L,=,0.002,35.01908333,-117.8337778,MUNICIPAL,USGS, Kern County
ANT-52,0.002,"1,1,1-Trichloroethane",4/7/2008,UG/L,<,0.002,34.62044444,-117.8142778,MUNICIPAL,USGS, Los Angeles County
ANT-53,0.003,"1,1,1-Trichloroethane",4/8/2008,UG/L,<,0.003,34.46638889,-118.1963333,MUNICIPAL,USGS, Los Angeles County
ANT-54,0.003,"1,1,1-Trichloroethane",4/9/2008,UG/L,<,0.003,34.83025,-118.3174444,MUNICIPAL,USGS, Kern County
ANT-55,0.003,"1,1,1-Trichloroethane",4/10/2008,UG/L,<,0.003,34.60225,-118.1111111,MUNICIPAL,USGS, Los Angeles County
ANT-56,0.003,"1,1,1-Trichloroethane",4/10/2008,UG/L,<,0.003,34.75275,-118.4473333,MUNICIPAL,USGS, Los Angeles County
ANT-U,2,"1,1,1-Trichloroethane",2/25/2008,UG/L,<,0.002,34.69013056,-118.1336944,MUNICIPAL,USGS, Los Angeles County
BEAR-G01,2,"1,1,1-Trichloroethane",4/19/2010,UG/L,<,0.002,34.21261111,-117.0749722,MUNICIPAL,USGS, San Bernardino County
BEAR-G02,0.002,"1,1,1-Trichloroethane",4/19/2010,UG/L,<,0.002,34.23325,-117.2435833,MUNICIPAL,USGS, San Bernardino County
BEAR-G03,0.002,"1,1,1-Trichloroethane",4/20/2010,UG/L,<,0.002,34.25116667,-117.2755278,MUNICIPAL,USGS, San Bernardino County
BEAR-G04,0.002,"1,1,1-Trichloroethane",4/21/2010,UG/L,<,0.002,34.2495,-117.1314167,MUNICIPAL,USGS, San Bernardino County
BEAR-G05,2,"1,1,1-Trichloroethane",4/21/2010,UG/L,<,0.002,34.24525,-117.1443056,MUNICIPAL,USGS, San Bernardino County
BEAR-G06,1,"1,1,1-Trichloroethane",4/22/2010,UG/L,=,0.002,34.27386111,-117.2797778,MUNICIPAL,USGS, San Bernardino County
BEAR-G07,13,"1,1,1-Trichloroethane",5/10/2010,UG/L,,0.002,34.26094444,-117.2178056,MUNICIPAL,USGS, San Bernardino County
BEAR-G08,0.002,"1,1,1-Trichloroethane",5/10/2010,UG/L,<,0.002,34.25111111,-117.2209167,MUNICIPAL,USGS, San Bernardino County
BEAR-G09,0.002,"1,1,1-Trichloroethane",8/19/2010,UG/L,<,0.002,34.28013889,-117.21875,MUNICIPAL,USGS, San Bernardino County
BEAR-G10,0.002,"1,1,1-Trichloroethane",5/12/2010,UG/L,<,0.002,34.24136111,-117.0707778,MUNICIPAL,USGS, San Bernardino County
BEAR-G11,0.002,"1,1,1-Trichloroethane",5/13/2010,UG/L,<,0.002,34.24919444,-117.2996389,MUNICIPAL,USGS, San Bernardino County
BEAR-G12,0.002,"1,1,1-Trichloroethane",5/19/2010,MG/L,<,0.002,34.25325,-117.0825833,MUNICIPAL,USGS, San Bernardino County
BEAR-G13,0.002,"1,1,1-Trichloroethane",6/30/2010,UG/L,<,0.002,34.27805556,-117.1725556,MUNICIPAL,USGS, San Bernardino County
BEAR-S01,2,"1,1,1-Trichloroethane",4/26/2010,UG/L,,0.002,34.24902778,-116.8845278,MUNICIPAL,USGS, San Bernardino County
BEAR-S02,2,"1,1,1-Trichloroethane",4/26/2010,UG/L,<,0.002,34.23952778,-116.8965556,MUNICIPAL,USGS, San Bernardino County
BEAR-S03,0.002,"1,1,1-Trichloroethane",4/27/2010,MG/L,<,0.002,34.26755556,-116.9463611,MUNICIPAL,USGS, San Bernardino County
BEAR-S04,0.002,"1,1,1-Trichloroethane",4/27/2010,UG/L,<,0.002,34.26008333,-116.9122778,MUNICIPAL,USGS, San Bernardino County
BEAR-S05,0.002,"1,1,1-Trichloroethane",4/28/2010,UG/L,<,0.002,34.24819444,-116.8662222,MUNICIPAL,USGS, San Bernardino County
BEAR-S06,0.002,"1,1,1-Trichloroethane",4/29/2010,UG/L,<,0.002,34.23872222,-116.8491389,MUNICIPAL,USGS, San Bernardino County
BEAR-S07,0.002,"1,1,1-Trichloroethane",4/29/2010,MG/L,<,0.002,34.23266667,-116.8607778,MUNICIPAL,USGS, San Bernardino County
BEAR-S08,0.002,"1,1,1-Trichloroethane",5/3/2010,UG/L,<,0.002,34.24188889,-116.8249167,MUNICIPAL,USGS, San Bernardino County
BEAR-S09,0.002,"1,1,1-Trichloroethane",5/3/2010,MG/L,<,0.002,34.24705556,-116.8076667,MUNICIPAL,USGS, San Bernardino County
BEAR-S10,2,"1,1,1-Trichloroethane",5/4/2010,UG/L,=,0.002,34.23116667,-116.7703056,MUNICIPAL,USGS, San Bernardino County
BEAR-S11,0.002,"1,1,1-Trichloroethane",5/5/2010,MG/L,<,0.002,34.26302778,-116.8444722,MUNICIPAL,USGS, San Bernardino County
BEAR-S12,0.002,"1,1,1-Trichloroethane",5/5/2010,UG/L,<,0.002,34.26616667,-116.8303333,MUNICIPAL,USGS, San Bernardino County
BEAR-S13,0.002,"1,1,1-Trichloroethane",5/6/2010,MG/L,<,0.002,34.25633333,-116.8141667,MUNICIPAL,USGS, San Bernardino County
BEAR-S14,0.002,"1,1,1-Trichloroethane",5/6/2010,UG/L,<,0.002,34.22250835,-116.8091938,MUNICIPAL,USGS, San Bernardino County
BEAR-U01,0.002,"1,1,1-Trichloroethane",4/20/2010,UG/L,<,0.002,34.21025,-117.1118889,MUNICIPAL,USGS, San Bernardino County
BEAR-U02,0.002,"1,1,1-Trichloroethane",4/28/2010,MG/L,<,0.002,34.26472222,-116.8676667,MUNICIPAL,USGS, San Bernardino County
BEAR-U03,0.002,"1,1,1-Trichloroethane",5/4/2010,MG/L,<,0.002,34.23241667,-116.7702778,MUNICIPAL,USGS, San Bernardino County
BEAR-U04,0.002,"1,1,1-Trichloroethane",5/4/2010,UG/L,<,0.002,34.22897222,-116.773,MUNICIPAL,USGS, San Bernardino County
BEAR-U05,0.002,"1,1,1-Trichloroethane",5/12/2010,MG/L,<,0.002,34.24241667,-117.0616667,MUNICIPAL,USGS, San Bernardino County
BEAR-U06,0.002,"1,1,1-Trichloroethane",6/14/2010,MG/L,<,0.002,34.22602778,-116.8889722,MUNICIPAL,USGS, San Bernardino County
BEAR-U07,0.002,"1,1,1-Trichloroethane",6/14/2010,UG/L,<,0.002,34.23369444,-116.8893889,MUNICIPAL,USGS, San Bernardino County
BEAR-U08,0.002,"1,1,1-Trichloroethane",6/15/2010,MG/L,<,0.002,34.22788889,-116.8598333,MUNICIPAL,USGS, San Bernardino County
BEAR-U09,0.002,"1,1,1-Trichloroethane",6/15/2010,UG/L,<,0.002,34.22569444,-116.8586111,MUNICIPAL,USGS, San Bernardino County
BEAR-U10,2,"1,1,1-Trichloroethane",6/16/2010,UG/L,<,0.002,34.22286111,-117.0380833,MUNICIPAL,USGS, San Bernardino County
BEAR-U11,0.002,"1,1,1-Trichloroethane",8/19/2010,UG/L,<,0.002,34.28002778,-117.2182778,MUNICIPAL,USGS, San Bernardino County
BV-01,0.0044,"1,1,1-Trichloroethane",10/19/2009,UG/L,<,0.0044,33.19811111,-116.2959444,MUNICIPAL,USGS, San Diego County
BV-02,0.0044,"1,1,1-Trichloroethane",10/20/2009,UG/L,<,0.0044,33.27046667,-116.4040361,MUNICIPAL,USGS, San Diego County
BV-03,2,"1,1,1-Trichloroethane",10/20/2009,UG/L,<,0.002,33.34926389,-116.4003444,MUNICIPAL,USGS, San Diego County
BV-04,2,Aluminum,10/26/2009,UG/L,<,0.002,33.21831944,-116.392225,MUNICIPAL,USGS, San Diego County
BV-05,0.0044,"1,1,1-Trichloroethane",10/29/2009,UG/L,<,0.0044,33.22603056,-116.3483167,MUNICIPAL,USGS, San Diego County
BV-06,0.0044,"1,1,1-Trichloroethane",11/3/2009,UG/L,<,0.0044,33.15594444,-116.1680556,MUNICIPAL,USGS, San Diego County
BV-07,19,"1,1,1-Trichloroethane",12/3/2009,UG/L,,0.002,33.19086111,-116.2867222,MUNICIPAL,USGS, San Diego County
BVU-01,2,"1,1,1-Trichloroethane",10/27/2009,UG/L,=,0.002,33.21179167,-116.3468139,MUNICIPAL,USGS, San Diego County
CAMP-ES-01,0.002,"1,1,1-Trichloroethane",9/13/2010,MG/L,<,0.002,39.80433333,-121.5831667,MUNICIPAL,USGS, Butte County
CAMP-ES-02,0.002,"1,2,4-Trichlorobenzene",9/13/2010,MG/L,<,0.002,39.73358333,-121.5743056,MUNICIPAL,USGS, Butte County
CAMP-ES-03,0.002,Calcium,9/14/2010,MG/L,<,0.002,40.31163889,-121.8964722,MUNICIPAL,USGS, Tehama County
CAMP-ES-04,0.002,Bromide,9/16/2010,MG/L,<,0.002,39.66075,-121.62925,MUNICIPAL,USGS, Butte County
CAMP-ES-05,0.002,Boron,9/20/2010,MG/L,<,0.002,39.76519444,-121.6005,MUNICIPAL,USGS, Butte County
CAMP-ES-06,2,Calcium,9/20/2010,UG/L,<,0.002,39.88563889,-121.6665833,MUNICIPAL,USGS, Butte County
CAMP-ES-07,0.002,Carbon-14,9/21/2010,MG/L,<,0.002,40.339,-121.7648889,MUNICIPAL,USGS, Tehama County
CAMP-ES-08,1,"Diltiazem	",10/4/2010,UG/L,<,0.001,40.3085,-121.7826944,MUNICIPAL,USGS, Tehama County
CAMP-ES-09,0.001,"1,3-Dichloropropene (Total)",10/4/2010,MG/L,<,0.001,39.86966667,-121.7792778,MUNICIPAL,USGS, Butte County
CAMP-ES-10,1,Aluminum,10/5/2010,UG/L,<,0.001,39.77686111,-121.6913056,MUNICIPAL,USGS, Butte County
CAMP-ES-11,1,Trichloroethene,10/5/2010,UG/L,<,0.001,39.87633333,-121.6761389,MUNICIPAL,USGS, Butte County
CAMP-ES-12,1,Zinc,10/6/2010,UG/L,<,0.001,39.92586111,-121.7316389,MUNICIPAL,USGS, Butte County
CAMP-ES-13,0.001,"1,2,3-Trichloropropane",10/6/2010,MG/L,<,0.001,39.89436111,-121.7484722,MUNICIPAL,USGS, Butte County
CAMP-ES-14,1,Radium-228,10/7/2010,UG/L,<,0.001,39.847,-121.8301944,MUNICIPAL,USGS, Butte County
CAMP-ES-15,0.001,AlkalinityCACarbonate,10/12/2010,MG/L,<,0.001,39.76766667,-121.7815556,MUNICIPAL,USGS, Butte County
CAMP-HL-01,2,Arsenic,8/10/2010,UG/L,<,0.002,40.36852778,-120.2624444,MUNICIPAL,USGS, Lassen County
CAMP-HL-02,2,Alachlor,8/11/2010,UG/L,,0.002,40.3595,-120.6412778,MUNICIPAL,USGS, Lassen County
CAMP-HL-03,8,Beryllium,8/11/2010,UG/L,,0.002,40.39911111,-120.6177778,MUNICIPAL,USGS, Lassen County
CAMP-HL-04,1,Arsenic,8/12/2010,UG/L,=,0.002,40.36934196,-120.5299463,MUNICIPAL,USGS, Lassen County
CAMP-HL-05,4,Atrazine,8/18/2010,UG/L,,0.002,40.38411111,-120.5879722,MUNICIPAL,USGS, Lassen County
CAMP-HL-06,0.006,Benzene,8/18/2010,MG/L,<,0.002,40.25677778,-120.4649444,MUNICIPAL,USGS, Lassen County
CAMP-HL-07,20,Benzene,8/19/2010,UG/L,,0.002,40.31822222,-120.3696667,MUNICIPAL,USGS, Lassen County
CAMP-HL-08,0.006,Benzene,8/19/2010,MG/L,<,0.002,40.35277778,-120.3046389,MUNICIPAL,USGS, Lassen County
CAMP-HL-09,1,Boron,8/23/2010,UG/L,=,0.002,40.13788889,-120.1414167,MUNICIPAL,USGS, Lassen County
CAMP-HL-10,2,Barium,8/23/2010,UG/L,<,0.002,40.14497222,-120.1424167,MUNICIPAL,USGS, Lassen County
CAMP-HL-11,0.011,Benzene,8/24/2010,MG/L,,0.002,40.36538889,-120.4230278,MUNICIPAL,USGS, Lassen County
CAMP-HL-12,0.001,Benzene,8/24/2010,MG/L,=,0.002,40.04572222,-120.1236111,MUNICIPAL,USGS, Lassen County
CAMP-HL-13,2,Benzene,8/31/2010,UG/L,<,0.002,40.16127778,-120.3721111,MUNICIPAL,USGS, Lassen County
CAMP-HL-14,0.002,Benzene,8/31/2010,MG/L,<,0.002,40.41072222,-120.44575,MUNICIPAL,USGS, Lassen County
CAMP-HL-15,0.002,Benzene,9/1/2010,MG/L,<,0.002,40.38183333,-120.3875,MUNICIPAL,USGS, Lassen County
CAMP-LU-01,5,Boron,7/19/2010,UG/L,,0.002,41.96561111,-121.9241389,MUNICIPAL,USGS, Siskiyou County
CAMP-LU-02,11,Bromomethane,7/19/2010,UG/L,,0.002,41.95677778,-121.481,MUNICIPAL,USGS, Siskiyou County
CAMP-LU-03,2,Bromomethane,7/21/2010,UG/L,=,0.002,41.49491667,-120.5391667,MUNICIPAL,USGS, Modoc County
CAMP-LU-04,0.002,Benzene,7/21/2010,MG/L,<,0.002,41.53361111,-120.1766389,MUNICIPAL,USGS, Modoc County
CAMP-LU-05,2,Bromodichloromethane,7/22/2010,UG/L,<,0.002,41.48905556,-120.5325556,MUNICIPAL,USGS, Modoc County
CAMP-LU-06,0.001,Bromodichloromethane,7/22/2010,MG/L,=,0.002,41.44522222,-120.8693333,MUNICIPAL,USGS, Modoc County
CAMP-LU-07,0.002,Barium,7/27/2010,MG/L,<,0.002,41.78489954,-122.0057848,MUNICIPAL,USGS, Siskiyou County
CAMP-LU-08,0.002,Barium,7/29/2010,MG/L,<,0.002,41.31302778,-122.0869722,MUNICIPAL,USGS,Siskiyou County
CAMP-LU-09,2,Barium,8/2/2010,UG/L,,0.002,41.41538889,-120.67525,MUNICIPAL,USGS, Modoc County
CAMP-LU-10,0.001,Beryllium,8/3/2010,MG/L,=,0.002,41.88349104,-121.3736005,MUNICIPAL,USGS, Modoc County
CAMP-LU-11,0.002,Atrazine,8/4/2010,MG/L,<,0.002,41.18938889,-120.9411944,MUNICIPAL,USGS, Modoc County
CAMP-LU-12,0.002,Benzene,8/5/2010,MG/L,<,0.002,40.55880556,-121.7168889,MUNICIPAL,USGS, Modoc County
CAMP-LU-13,5,Beryllium,8/9/2010,UG/L,,0.002,41.12233333,-121.1428889,MUNICIPAL,USGS, Shasta County
CAMP-LU-14,2,Beryllium,8/30/2010,UG/L,<,0.002,40.31386111,-121.2382778,MUNICIPAL,USGS, Lassen County
CAMP-LU-15,2,Beryllium,8/30/2010,UG/L,<,0.002,40.29391667,-121.2391389,MUNICIPAL,USGS, Plumas County
CAMP-QV-01,2,Azinphos methyl,7/20/2010,UG/L,<,0.002,41.57319444,-121.6104722,MUNICIPAL,USGS, Plumas County
CAMP-QV-02,0.002,Azinphos methyl,7/29/2010,MG/L,<,0.002,41.31930556,-122.1368056,MUNICIPAL,USGS,Siskiyou County
CAMP-QV-03,6,Azinphos methyl,8/2/2010,UG/L,,0.002,41.52408333,-120.6713056,MUNICIPAL,USGS,Siskiyou County
CAMP-QV-04,0.011,Barium,8/3/2010,MG/L,,0.002,41.88147222,-121.3804167,MUNICIPAL,USGS, Modoc County
CAMP-QV-05,0.002,Azinphos methyl,8/9/2010,MG/L,<,0.002,40.91797222,-121.6256944,MUNICIPAL,USGS, Modoc County
CAMP-QV-06,0.002,Azinphos methyl,8/12/2010,MG/L,<,0.002,40.42769444,-120.6388333,MUNICIPAL,USGS, Shasta County
CAMP-QV-07,2,Boron,8/17/2010,UG/L,<,0.002,40.87130556,-121.6603611,MUNICIPAL,USGS, Lassen County
CAMP-QV-08,0.002,Boron,8/17/2010,MG/L,<,0.002,40.91863889,-121.5598056,MUNICIPAL,USGS, Shasta County
CAMP-QV-09,0.002,Atrazine,8/25/2010,MG/L,<,0.002,40.29436111,-121.0431667,MUNICIPAL,USGS, Shasta County
CAMP-QV-10,2,Atrazine,9/13/2010,UG/L,<,0.002,40.62858333,-121.91125,MUNICIPAL,USGS, Lassen County
CAMP-QV-11,2,Atrazine,9/13/2010,UG/L,<,0.002,40.49733333,-121.9044167,MUNICIPAL,USGS, Shasta County
CAMP-QV-12,0.002,Azinphos methyl,9/14/2010,MG/L,<,0.002,40.51791667,-121.9333611,MUNICIPAL,USGS, Shasta County
CAMP-QV-13,0.002,Atrazine,9/14/2010,MG/L,<,0.002,40.45616667,-121.8024167,MUNICIPAL,USGS, Shasta County
CAMP-QV-14,0.002,Alkalinity,9/15/2010,MG/L,<,0.002,40.30947222,-121.4263333,MUNICIPAL,USGS, Shasta County
CAMP-QV-15,2,Atrazine,9/20/2010,UG/L,<,0.002,40.50608333,-121.8321944,MUNICIPAL,USGS, Tehama County
CAMP-SH-01,2,Atrazine,7/12/2010,UG/L,<,0.002,41.69763889,-122.6375833,MUNICIPAL,USGS, Shasta County
CAMP-SH-02,4,Arsenic,7/13/2010,UG/L,,0.002,41.47658333,-122.4543056,MUNICIPAL,USGS, Siskiyou County
CAMP-SH-03,2,Alachlor,7/13/2010,UG/L,<,0.002,41.52013889,-122.5237778,MUNICIPAL,USGS, Siskiyou County
CAMP-SH-04,2,Atrazine,7/14/2010,UG/L,<,0.002,41.40166667,-122.3771389,MUNICIPAL,USGS, Siskiyou County
CAMP-SH-05,0.002,Azinphos methyl,7/14/2010,MG/L,<,0.002,41.42055556,-122.3551667,MUNICIPAL,USGS, Siskiyou County
CAMP-SH-06,2,Azinphos methyl,7/15/2010,UG/L,<,0.002,41.31654127,-122.3069556,MUNICIPAL,USGS, Siskiyou County
CAMP-SH-07,0.002,Azinphos methyl,7/15/2010,MG/L,<,0.002,41.31305556,-122.2690278,MUNICIPAL,USGS, Siskiyou County
CAMP-SH-08,0.002,Benzene,7/26/2010,MG/L,<,0.002,41.43205556,-122.4000556,MUNICIPAL,USGS, Siskiyou County
CAMP-SH-09,1,Benzene,7/27/2010,UG/L,=,0.002,41.647,-122.5238056,MUNICIPAL,USGS, Siskiyou County
CAMP-SH-10,0.002,Benzene,7/28/2010,MG/L,<,0.002,41.53133333,-122.367,MUNICIPAL,USGS, Siskiyou County
CAMP-SH-11,0.002,Alkalinity,7/28/2010,MG/L,<,0.002,41.54527778,-122.3732778,MUNICIPAL,USGS,Siskiyou County
CAMP-SH-12,0.002,Azinphos methyl,9/22/2010,MG/L,<,0.002,41.62472222,-122.4048333,MUNICIPAL,USGS, Siskiyou County
CAMP-SH-13,1,Azinphos methyl,9/23/2010,UG/L,=,0.002,41.60166667,-122.4142778,MUNICIPAL,USGS, Siskiyou County
CAMP-SH-14,1,Barium,10/13/2010,UG/L,<,0.001,41.38292775,-122.3986267,MUNICIPAL,USGS, Siskiyou County
CAMP-SH-15,0.001,Barium,10/14/2010,MG/L,,0.001,41.70544444,-122.5636667,MUNICIPAL,USGS, Siskiyou County
CAMP-TV-01,92,Beryllium,7/12/2010,UG/L,,0.002,41.92811111,-122.3614167,MUNICIPAL,USGS, Siskiyou County
CAMP-TV-02,2,Atrazine,8/4/2010,UG/L,<,0.002,41.02036111,-121.6806111,MUNICIPAL,USGS, Siskiyou County
CAMP-TV-03,2,Benzene,8/5/2010,UG/L,<,0.002,40.43191667,-121.99275,MUNICIPAL,USGS, Shasta County
CAMP-TV-04,0.002,Benzene,8/16/2010,MG/L,=,0.002,40.80255556,-121.5164722,MUNICIPAL,USGS,Shasta County
CAMP-TV-05,0.01,Arsenic,8/16/2010,MG/L,<,0.002,40.89322222,-121.1820833,MUNICIPAL,USGS, Shasta County
CAMP-TV-06,0.001,Arsenic,8/25/2010,MG/L,=,0.002,40.30263889,-121.1624444,MUNICIPAL,USGS, Lassen County
CAMP-TV-07,2,Arsenic,8/26/2010,UG/L,<,0.002,41.13819444,-120.28125,MUNICIPAL,USGS, Plumas County
CAMP-TV-08,0.002,Arsenic,9/1/2010,MG/L,<,0.002,40.7205,-120.725,MUNICIPAL,USGS,Lassen County
CAMP-TV-09,0.002,Arsenic,9/2/2010,MG/L,<,0.002,40.24225,-121.2073333,MUNICIPAL,USGS, Lassen County
CAMP-TV-10,0.002,Arsenic,9/2/2010,MG/L,<,0.002,40.21638889,-121.1714444,MUNICIPAL,USGS, Plumas County
CAMP-TV-11,0.002,Atrazine,9/15/2010,MG/L,<,0.002,40.85625,-121.8483333,MUNICIPAL,USGS, Plumas County
